Title,Country,Year,Policy Status,Policy Type,Policy Target
Climtech - RD&D Programme,Finland,1999,Ended ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Combined CO2 and Energy Tax,Finland,1994,Unknown ,Economic Instruments>Fiscal/financial incentives>Taxes ,Multiple RE Sources
Decree on Notification on the Origin of Electricity,Finland,2005,In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
Energy and Climate Policy Outline for the Near Future: National Strategy to Implement the Kyoto Protocol.,Finland,2005,Superseded ,Policy Support>Strategic planning ,"Multiple RE Sources>All, Multiple RE Sources"
Energy Grants for Residential Buildings,Finland,2003,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Energy Tax Overhaul,Finland,2002,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources>Power, Bioenergy, Geothermal>Heat, Geothermal>Power, Multiple RE Sources, Multiple RE Sources>CHP"
Long-term Climate and Energy Strategy,Finland,2008,Superseded ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Finland,2010,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Power"
NEMO 2 - RD&D Programme,Finland,1993,Unknown ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project ",Multiple RE Sources
Support for RE technologies,Finland,1999,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
Wind Power Programme,Finland,1993,Ended ,Policy Support>Strategic planning ,"Wind>Onshore, Multiple RE Sources>Power, Wind>Offshore"
BPI France Innovation for SMEs - support for R&D,France,2013,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
Campaign SOS Climat,France,2001,Ended ,Information and Education>Information provision ,Multiple RE Sources>All
District Heating Classification,France,1999,In Force ,Regulatory Instruments>Other mandatory requirements ,Multiple RE Sources>CHP
Electricity Law 2000,France,2000,In Force ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>Power
Energy Transition Act,France,2015 (July),In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power, Multiple RE Sources>Heating"
Extension of Tax Credit in Favour of Renewable Energy Equipment in New Housing,France,2002,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources
Extension of the Law on Reduced VAT for Residential Renewable Energy Equipment,France,2002,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>Power
FACE (Fonds damortissement des charges délectrification) Programme,France,1995,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>Power, Multiple RE Sources"
Finance Law 2009: Sustainable energy provisions,France,2009,In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Loans, Regulatory Instruments ","Multiple RE Sources>Heating, Bioenergy>Biofuels for transport"
Flexible depreciation,France,2003,Ended ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>All
Government Crediting and Loan Guarantee for Energy Efficiency and Renewable Energy Investment - FOGIME,France,2001,In Force ,Economic Instruments>Fiscal/financial incentives>Loans ,Multiple RE Sources>All
Green innovation funding: the French programme of Investments for the future,France,2010,In Force ,"Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
Le Grenelle de L'environnement,France,2007,Ended ,Policy Support>Strategic planning ,"Multiple RE Sources>CHP, Multiple RE Sources>All"
Livret de Developpement Durable: Preferential loans for energy saving measures,France,2007,In Force ,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives ","Solar, Bioenergy>Biomass for heat, Geothermal, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),France,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power"
National Strategy for Research and Development in the field of Energy,France,2007,In Force ,"Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development, Research, Development and Deployment (RD&D)>Research programme ","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Public-Private Research Partnerships:,France,2006,In Force ,Voluntary Approaches>Negotiated Agreements (Public-private sector) ,Multiple RE Sources>All
Renewable Energy Feed-in Tariffs (I),France,2001,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>Power
Renewable Energy Feed-in Tariffs (II),France,2002,Superseded ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Solar>Solar photovoltaic, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources, Multiple RE Sources>Power"
Renewable energy market development (support for demonstration and diffusion),France,1999,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>All
Renewable Energy Purchasing Conditions,France,1999,Superseded ,Regulatory Instruments ,Multiple RE Sources>Power
Retailer Sustainable Commerce Agreement,France,2008,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
Rural electrification using RES,France,1995,Unknown ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources>Power, Multiple RE Sources"
Support scheme for electricity produced from renewable energy sources (LOI n° 2015-992 du 17 août 2015 relative à la transition énergétique pour la croissance verte),France,2016,In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>Power
Survey and Pre-feasibility Assistance: Disposition Général des Aides à la Décision,France,2000,In Force ,"Regulatory Instruments>Monitoring, Economic Instruments>Fiscal/financial incentives, Policy Support, Information and Education>Advice/Aid in Implementation, Regulatory Instruments>Auditing ",Multiple RE Sources>All
Tax Credit for Renewable Energy in New Buildings,France,2000,Superseded ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources>Power, Multiple RE Sources>Heating"
Wind Energy Programme,France,1996,Ended ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>Power
2014 Amendment of the Renewable Energy Sources Act (EEG 2014),Germany,2014 (August 1st),In Force ,"Policy Support>Strategic planning, Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes ",Multiple RE Sources
2017 Amendment of the Renewable Energy Sources Act (EEG 2017),Germany,2017,In Force ,"Economic Instruments>Market-based instruments, Policy Support>Strategic planning, Regulatory Instruments ",Multiple RE Sources>All
Baltic Energy Efficiency Group (BEEG),Germany,1998,Ended ,"Policy Support>Strategic planning, Policy Support>Institutional creation ","Multiple RE Sources>CHP, Multiple RE Sources>All"
CHP Agreements with Industry (Vereinbarung zwischen der Regierung der Bundesrepublik Deutschland und der deutschen Wirtschaft zur Steigerung der Energieeffizienz),Germany,2012,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Voluntary Approaches ",Multiple RE Sources>CHP
Climate Legislation Package Enacted under the Integrated Climate Change and Energy Programme,Germany,2008,In Force ,Policy Support>Strategic planning ,"Wind>Offshore, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>Power, Wind"
Combined Heat and Power (CHP) Extra Law (Gesetz zum Schutz der Stromerzeugung aus Kraft-Wärme-Kopplung - Kraft-Wärme-Kopplungsgesetz),Germany,2000,Superseded ,"Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Obligation schemes , Voluntary Approaches>Unilateral Commitments (Private sector) ",Multiple RE Sources>CHP
"Electricity Feed-In Law of 1991 (""Stromeinspeisungsgesetz"")",Germany,1991,Superseded ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources, Multiple RE Sources>Power, Wind, Wind>Offshore"
Energy Concept,Germany,2010,In Force ,"Regulatory Instruments, Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Energy Industry Act (Energiewirtschaftsgesetz),Germany,2005 (amended 2012),In Force ,"Regulatory Instruments>Monitoring, Regulatory Instruments ",Multiple RE Sources>All
Federal Building Codes for Renewable Energy Production,Germany,1997,In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements ","Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>Power"
Federal States (Länder) Support for Renewable Energy,Germany,1985,In Force ,"Research, Development and Deployment (RD&D), Economic Instruments>Direct investment>Funds to sub-national governments, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support ",Multiple RE Sources>All
Fifth Energy Research Programme (5.Energieforschungsprogramme - Innovation und neue Energietechnologien),Germany,2005,Superseded ,"Research, Development and Deployment (RD&D) ","Multiple RE Sources>All, Multiple RE Sources"
Green Power,Germany,1996,In Force ,"Regulatory Instruments, Economic Instruments>Direct investment>Procurement rules, Regulatory Instruments>Monitoring, Regulatory Instruments>Other mandatory requirements ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>Power, Wind>Offshore"
Integrated Climate Change and Energy Programme,Germany,2007,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>CHP, Multiple RE Sources>Heating, Multiple RE Sources>All"
KfW Renewable Energies Programme (KfW-Programm Erneuerbare Energien),Germany,2009,In Force ,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Wind, Geothermal>Heat, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources>CHP, Multiple RE Sources>Power, Solar>Solar photovoltaic, Solar Thermal"
Law on Energy and Climate Fund,Germany,2011,In Force ,Policy Support>Institutional creation ,Multiple RE Sources
National Energy Action Plan (NREAP),Germany,2010,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Ordinance on the Fee Schedule for Architects and Engineers,Germany,1995,In Force ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
